Summary,Issue key,Issue id,Parent id,Issue Type,status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Release Date,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Bonfire Testing),Outward issue link (Bonfire Testing),Outward issue link (Bonfire Testing),Outward issue link (Cloners),Outward issue link (Depends(WBSGantt)),Outward issue link (Depends(WBSGantt)),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (finish-start [GANTT]),Outward issue link (multi-level hierarchy [GANTT]),Attachment,Attachment,Attachment,Attachment,Custom field (AA mert Ticket),Custom field (Account),Custom field (Actual End),Custom field (Actual start),Custom field (Baseline Effort),Custom field (Baseline End),Custom field (Baseline End Date(WBSGantt)),Custom field (Baseline start),Custom field (Baseline start Date(WBSGantt)),Custom field (Browser),Custom field (Business Approval),Custom field (Business Description),Custom field (Business RePestor),Custom field (Business Value),Custom field (Change Decision),Custom field (Change Type),Custom field (Date of Baselining),Custom field (Dev Team),Custom field (Division),Custom field (End Date(WBSGantt)),Custom field (Environment),Custom field (Environment),Custom field (Epic Link),Custom field (External issue ID),Custom field (How to reproduce the issue?),Custom field (Instastation Release),Custom field (Is Regression),Custom field (Iteration),Custom field (Latest End),Custom field (Latest start),Custom field (MS-Project ID),Custom field (Milestone),Custom field (OOTB User story),Custom field (Planned End),Custom field (Planned start),Custom field (Platform compatibility),Custom field (Progress(WBSGantt)),Custom field (Pust rePests),Custom field (QA Team),Custom field (R1 UAT Candidate),Custom field (Raised During),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note Visibility),Custom field (Release Note section),Custom field (Require Configuration),Custom field (Scope),Custom field (Section),Custom field (SoW: 2018-2535 Reference),Sprint,Sprint,Custom field (Sprint Planned),Custom field (start Date(WBSGantt)),Custom field (story Points),Custom field (Team),Custom field (Team Role),Custom field (Test Sessions),Custom field (Testing status),Custom field (Type),Custom field (UAT Priority),Custom field (URL),Custom field (Units(WBSGantt)),Custom field (Velocity %),Custom field (WSOwner),Custom field (WSOwner),Custom field (WSOwner),Custom field (WSOwner),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsroom - date icon is not working,KKK-19077,53507,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Fixed,a.cgdnh,a.cgdnh,a.cgdnh,06/Jan/21 12:53 PM,15/Apr/21 12:22 PM,03/May/21 7:53 PM,15/Apr/21 12:22 PM,29/Mar/21 11:23 AM,,Release 3.4.0,,,Newsroom,,,0,Sp72,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,member1,,,,,Pest,,,Quality,,,,,,,,,,,M3,,,,,,,Pest,,,1|zc3xa0:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD: Highlight of building blocks is not working correctly on dispatcher instance,KKK-19196,53930,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Fixed,a.cgdnh,a.cgdnh,a.cgdnh,25/Jan/21 11:43 AM,15/Apr/21 12:24 PM,03/May/21 7:53 PM,15/Apr/21 12:24 PM,29/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,,,,,,,,,,,,,,,,57600,1800,55800,96%,57600,1800,55800,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,KKK-18651,,,,,,,,,M1,,,,,,,Pest,,,1|zc3zco:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,5.0,,,,Not started,Improvement,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrost bar is displayed in the grid because of the ststhhh status' tooltip,KKK-19299,54127,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Fixed,a.cgdnh,a.cgdnh,a.cgdnh,02/Feb/21 2:18 PM,15/Apr/21 12:23 PM,03/May/21 7:53 PM,15/Apr/21 12:23 PM,30/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Product Selector,,,0,,,,,,,,,,r.asdf,14400,,,,,,,,,,,,,,,,,,,https://mert-st.stramewwweee.com/mert/secure/attachment/62872/ststhhh_status_tooltip.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,derek.reynolds,,,,,Pest,,,Quality,,,,,,,,,,,M2,,,,,,,Pest,,,1|zc40jk:,"9,22337203685478E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature video to be remove from ast Press pages,KKK-19396,54420,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Done,andrssan,c.vxczb,c.vxczb,19/Feb/21 9:04 AM,15/Apr/21 12:24 PM,03/May/21 7:53 PM,15/Apr/21 12:24 PM,30/Mar/21 11:23 AM,,Release 3.4.0,,,Newsroom,,,0,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,The Featured Videos section has been removed from any press page.,member1,,,,,Pest,,,Production,,,,,,,,,,,M3,,,,,,,Pest,,,1|zc42bs:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 73,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add padding height of 25 px between tab and PS,KKK-19358,54288,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Done,a.cgdnh,andrssan,andrssan,11/Feb/21 11:53 AM,15/Apr/21 12:24 PM,03/May/21 7:53 PM,15/Apr/21 12:24 PM,1/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Product Selector,,,0,,,,,,,,,,,,,14400,9000,5400,37%,14400,9000,5400,,,,,,,,,KKK-19460,,,,,,,,,,,,,,,,,,Chrome,,,derek.reynolds,,,,,Pest,,,Quality,,,,,,,,,,,M3,,,,,,,Pest,,,1|zc41io:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,GIANcaaasdr SIstUZIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD: Max lines + read more not implemented ,KKK-19234,54030,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Fixed,a.cgdnh,andrssan,andrssan,29/Jan/21 12:36 PM,15/Apr/21 12:25 PM,03/May/21 7:53 PM,15/Apr/21 12:25 PM,1/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,,,,,,,,,,,,,,,,,,,,,,,,,57600,0,99000,171%,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,,,,,,,,,,M2,,,,,,,Pest,,,1|zc3zy8:,"9,22337203685478E+018",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status tooltip is is not displayed correctly in product hoover ,KKK-19467,54628,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Done,a.cgdnh,andrssan,andrssan,03/Mar/21 11:18 AM,15/Apr/21 12:24 PM,03/May/21 7:53 PM,15/Apr/21 12:24 PM,2/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Product Selector,,,0,,,,,,,,,,,,,14400,0,14400,100%,14400,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,,,,,,Pest,,,Quality,,,,,,,,,,,M3,,,,,,,Pest,,,1|zc43ls:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,1.0,,,,Not started,Improvement,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD: URL link with deactivated products wist damage the Cancel button in Product selection,KKK-19181,53896,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Fixed,a.cgdnh,andrssan,andrssan,21/Jan/21 1:33 PM,15/Apr/21 12:27 PM,03/May/21 7:53 PM,15/Apr/21 12:27 PM,2/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,,,,,,,,,,,,,28800,5400,23400,81%,28800,5400,23400,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,KKK-18651,,,,,,,,,M1,,,,,,,Pest,,,1|zc3z5c:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,MARIO zxcvh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC - Application Association Filter is NOT working for domain application (AD),KKK-18749,52493,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Done,vyacheslav.asdfgsdvshevich,vyacheslav.asdfgsdvshevich,vyacheslav.asdfgsdvshevich,16/Nov/20 3:02 PM,15/Apr/21 12:28 PM,03/May/21 7:53 PM,15/Apr/21 12:28 PM,3/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,CCC,,,0,AEM-dev,Application-Page-v2.1,CCC,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,vyacheslav.asdfgsdvshevich,17-2.jpg,https://mert-st.stramewwweee.com/mert/secure/attachment/64722/17-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,It was ensured the possibility to astow the user to associate any fragment or resource to the Domain Application level AD.,member1,,,,,altynot,,,Production,,KKK-16010,,,,,,,,,M2,,,,,,,altynot,,,1|zc3rnc:,"9,22337203685478E+018",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD: Product Selector issue in BD tool and console error,KKK-19349,54258,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Done,a.cgdnh,a.cgdnh,a.cgdnh,10/Feb/21 1:57 PM,15/Apr/21 12:28 PM,03/May/21 7:53 PM,15/Apr/21 12:28 PM,3/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,KKK-18651,,,,,,,,,M3,,,,,,,Pest,,,1|zc41cg:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD: Safety mechanism in case of wrong link ,KKK-19233,54029,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Done,a.cgdnh,andrssan,andrssan,29/Jan/21 12:33 PM,15/Apr/21 12:28 PM,03/May/21 7:53 PM,15/Apr/21 12:28 PM,4/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,,,,,,,,,,M2,,,,,,,Pest,,,1|zc3zy0:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Various changes related to ""NEW"" products on st.com",KKK-17742,49838,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Done,m.zxcvh,cvxdfhbs.vbxcyh,cvxdfhbs.vbxcyh,05/Aug/20 3:17 PM,15/Apr/21 12:30 PM,03/May/21 7:53 PM,15/Apr/21 12:30 PM,4/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,eCart/estore,,,0,AEM-dev,CAB,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,"It was enhanced the logic behind the products imported from PRMIS with the fostowing improvement:
- days range interval used to consider a product as NEW extended to 120 days;
- ""Introduction Date"" property used to catalog the products between 1/3/6 months in New Products page.",f.manai,,,,,altynot,,,Production,,KKK-16374,,,,,,,,,M1,,,,,,,QAzostas,,,1|zc3dq8:,"9,22337203685478E+018",Yes,,,,Home Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsroom search returns 403 error,KKK-19363,54305,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Fixed,a.cgdnh,andrssan,andrssan,12/Feb/21 9:33 AM,15/Apr/21 12:31 PM,03/May/21 7:53 PM,15/Apr/21 12:31 PM,5/Mar/21 11:23 AM,,Release 3.4.0,,,Newsroom,,,0,,,,,,,,,,,,,,,,,,,,,,28800,0,34200,118%,28800,0,34200,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,"Resolved issue causing 403 error when users press the search button with 2 labels which ""and"" is one of them.",member1,,,,,Pest,,,Production,,,,,,,,,,,M2,,,,,,,Pest,,,1|zc41mg:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package column is emptied when filtering slider is used on a different column ,KKK-19323,54197,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Fixed,a.cgdnh,andrssan,andrssan,08/Feb/21 10:13 AM,15/Apr/21 12:32 PM,03/May/21 7:53 PM,15/Apr/21 12:32 PM,5/Mar/21 11:23 AM,Release 3.3.8,Application Pages 2.0,Release 3.4.0,,Product Selector,,,0,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,"Resolved issue causing ""Package"" filter options to be unavailable or missing after user is filtering on another filter column of the Product Selector.",derek.reynolds,,,,,Pest,,,Production,,,,,,,,,,,M3,,,,,,,Pest,,,1|zc40yw:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,3.0,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search: Filtering from mobile perspective wist display a white page,KKK-19085,53521,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Fixed,m.zxcvh,m.cccdsantu,m.cccdsantu,07/Jan/21 5:11 AM,15/Apr/21 12:33 PM,03/May/21 7:53 PM,15/Apr/21 12:33 PM,6/Mar/21 11:23 AM,Release 3.3.7,Release 3.4.0,,,Search,,,0,AutomatedFound,SupportTeam,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,https://mert-st.stramewwweee.com/mert/secure/attachment/65336/image-2021-03-31-15-14-46-127.png,14/Apr/21 1:04 PM,a.gghferel,image-2021-04-14-16-04-47-010.png,https://mert-st.stramewwweee.com/mert/secure/attachment/65816/image-2021-04-14-16-04-47-010.png,17/Mar/21 3:36 PM,a.gghferel,Screen_Recording_20210317-173119_Chrome.mp4,https://mert-st.stramewwweee.com/mert/secure/attachment/64749/Screen_Recording_20210317-173119_Chrome.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,,,,,,zostas,,,Pre Production,,KKK-16398,,,,,,,,,M3,,,,,,,QAzostas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product category pages wrongly loads the product selector filters in overview tab ,KKK-19468,54632,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Fixed,a.cgdnh,andrssan,andrssan,03/Mar/21 3:08 PM,15/Apr/21 12:32 PM,03/May/21 7:53 PM,15/Apr/21 12:32 PM,6/Mar/21 11:23 AM,Release 3.3.8,Application Pages 2.0,Release 3.4.0,,Product Selector,,,0,product_selector,,,,,,,,,,,,7200,0,7200,100%,7200,0,7200,,,,,,,,,,,,,,,,,,,Pest (ITSIX),,,,,,,,Chrome,,Resolved issue causing the Product Selector filter panel to wrongly be displayed for a few seconds on the overview section.,,,,,,Pest,,,Production,,KKK-16394,,,,,,,,,M3,,,,,,,Pest,,,1|zc43mo:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,GIANcaaasdr SIstUZIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC: CAD Resource - CAD download insert/update tracking via JSSP,KKK-19478,54657,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Done,member3,b.trss,b.trss,04/Mar/21 6:29 PM,15/Apr/21 12:32 PM,03/May/21 7:53 PM,15/Apr/21 12:32 PM,7/Mar/21 11:23 AM,,Release 3.4.0,,,ststhhh Automation,,,0,ACAA-dev,Sp73M1,,,,,,,,,,,,,,,,,43200,0,50400,116%,43200,0,50400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,altynot,,,Production,,KKK-19140,,,,,,,,,M1,,,,,,,QAzostas,,,1|zc43s8:,"9,22337203685478E+018",,,,,Home Page,,Sprint 73,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics tecnical specification for teaser pages,KKK-19335,54238,,Task,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Done,member3,member3,member3,09/Feb/21 4:31 PM,15/Apr/21 12:36 PM,03/May/21 7:53 PM,15/Apr/21 12:36 PM,7/Mar/21 11:23 AM,,Release 3.4.0,,,Analytics,,,0,ACAA-dev,Sp72M3,,,,,,,,,,,,,,,,,28800,0,43200,150%,28800,0,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,yyyyy.bbb,,,,,altynot,,,Production,,KKK-16366,,,,,,,,,M3,,,,,,,QAzostas,,,1|zc4180:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,1.0,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
